Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабиченко,Валентин,Дмитрович,male,1958-01-17,Випробувач,місто Вінниця,"проспект Лавкова, буд. 21 кв. 56, Соснівка , 61853",+380 29 510 25 77,iaroshvadym@example.com
Дахно,Антон,Семенович,male,1995-02-17,Гірник,село Новодружеськ,"площа Дунаєва, буд. 554 кв. 16, Городище , 33375",+380 52 948-34-93,ielysaveta44@example.net
Овчаренко,Марко,Григорович,male,1974-05-13,Стоматолог,селище Чистякове,"проспект 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 58 кв. 43, Верхньодніпровськ, 48238",196-60-77,aleksandrenkoalevtyn@example.org
Артимишина,Опанас,Миколайович,male,1982-11-22,Водій,селище Вознесенівка,"площа Балтський 8-й, буд. 00, Кривий Ріг, 97307",+380 59 496-60-30,ievhenzaiets@example.net
Перепелиця,Остап,Дамирович,male,1992-12-09,Співак,селище Олевськ,"парк Дачний, буд. 1, Монастирище, 29889",043 330 71 66,iustymreva@example.com
Масоха,Євген,Миколайович,male,2004-05-29,Електротехнік,хутір Бершадь,"набережна 15-та Суворовська, буд. 0 кв. 9, Христинівка, 39777",329-98-17,uholyk@example.net
Артимович,Лукʼян,Сергійович,male,1981-10-30,Льотчик,місто Зугрес,"сквер Шефська, буд. 9 кв. 218, Бахмут, 03259",+380 (64) 096-81-78,khrystychvarfolomii@example.org
Власюк,Єфрем,Дамирович,male,1989-01-16,Актор,місто Пологи ,"сквер Прорізний, буд. 47, Зборів, 03420",278 89 24,shutkoleopold@example.net
Базавлученко,Гаврило,Іванович,male,1938-12-21,Краєзнавець,місто Святогірськ,"парк Марата, буд. 5, Любомль, 97364",+380 41 753 71 91,veniiamyn73@example.com
Ємельяненко,Герман,Юрійович,male,1979-01-04,Юрист,хутір Радомишль,"провулок Віцеадмірала Азарова, буд. 420, Чугуїв, 82932",+380 12 131-22-25,skonoplia@example.com
Макогон,Віктор,Федорович,male,1951-11-04,Археолог,селище Горішні Плавні,"проспект Деревообробний 4-й, буд. 634, Бердянськ, 97062",011 401-33-60,nazar28@example.net
Негода,Демʼян,Дамирович,male,1995-06-15,Публіцист,селище Жидачів,"шосе Більшовицький, буд. 66 кв. 4, Саки , 39492",+380 90 691 11 97,izhakevychsvitlana@example.com
Франчук,Борислав,Васильович,male,1996-03-13,Кінорежисер,селище Хмельницький,"проспект Байкал тупик, буд. 300, Комарно, 35861",767-97-54,tymofiiatroshchenko@example.org
Чорновіл,Петро,Олександрович,male,1977-04-09,Науковець,місто Мала Виска,"сквер Історія Футболу, буд. 257, Ямпіль, 38323",+380 54 026 38 34,fvashchenko@example.net
Чубай,Макар,Анатолійович,male,1992-03-20,Швачка,селище Карлівка,"парк Уманська, буд. 3 кв. 727, Біла Церква, 98608",+380 (50) 510-27-84,davydholoborodko@example.org
Зайченко,Юхим,Григорович,male,1986-11-13,Сценарист,місто Стрий,"шосе Каркашадзе, буд. 014 кв. 4, Світлодарськ, 78628",633-29-11,kadeniukmariia@example.org
Вдовенко,Валерій,Юрійович,male,1982-04-25,Астронавт,село Київ,"вулиця Молокова, буд. 655, Вижниця, 28008",083 193 68 12,komaranzhela@example.net
Конопленко,Симон,Дмитрович,male,1944-10-09,Каскадер,селище Заставна,"шосе Рельєфна, буд. 96, Красноперекопськ, 15358",+380 77 605 76 59,khrystenkohennadii@example.com
Устенко,Семен,Дамирович,male,1957-11-22,Футболіст,місто Борислав,"проспект Шоста, буд. 974 кв. 402, Карлівка, 28213",+380 (13) 695-43-68,okseniiaiakymchuk@example.net
Авдєєнко,Роман,Іванович,male,1989-02-05,Математик,село Біла Церква,"вулиця Виставочна, буд. 69, Нове Давидково, 17400",772 27 07,vladyslav90@example.org
Яценко,Соломон,Сергійович,male,1970-07-22,Футболіст,хутір Галич,"вулиця Косовський, буд. 92 кв. 58, Васильків, 04783",094 406 08 44,lsheremeta@example.org
Шеремет,Валентин,Дмитрович,male,1960-11-13,Астроном,місто Святогірськ,"вулиця Абрикосовий, буд. 519, Сніжне, 20789",056 515-31-42,fvelychko@example.com
Алексюк,Володимир,Андрійович,male,1953-08-26,Штукатур,місто Кремінна,"набережна Зелений, буд. 4, Болград, 44350",012 982 75 49,skyrdaorysia@example.net
Іващенко,Стефан,Дмитрович,male,1970-06-25,Клоун,місто Саки ,"шосе Лютнева, буд. 9 кв. 3, Волочиськ, 37791",073 621-66-25,valentyna41@example.org
Саченко,Іван,Опанасович,male,1946-04-21,Актор,хутір Нова Каховка,"парк Студентський 4-й, буд. 965, Ватутіне, 10910",+380 96 644-11-55,iaremenkoklavdiia@example.com
Зінченко,Варфоломій,Вікторович,male,1961-06-23,Соціолог,місто Родинське,"провулок Івана Вазова, буд. 5 кв. 199, Енергодар, 83986",+380 05 325 57 02,vasylyna08@example.net
Чорновіл,Едуард,Анатолійович,male,1984-07-29,Ветеринар,місто Харків,"провулок Стельмаха, буд. 7, Тараща, 30044",024 839-19-63,stepan18@example.org
Пʼятаченко,Франц,Андрійович,male,1953-06-30,Акушер,хутір Рудки,"набережна Балтський 3-й, буд. 45, Первомайськ, 08967",909-27-47,martyn17@example.net
Твердохліб,Юстим,Артемович,male,1997-04-03,Економіст,селище Ковель,"узвіз Чорноморський 8-й, буд. 6 кв. 0, Погребище, 05803",+380 70 149-63-60,mkhrystych@example.org
Євтушок,Стефан,Петрович,male,1946-01-28,Золотар,село Жашків,"площа Мічманський 2-й, буд. 52, Борислав, 61554",032 360-27-13,tkachenkomykhailyna@example.com
Фоменко,Леопольд,Олександрович,male,1970-04-06,Різноробочий,село Джанкой,"проспект Героїв Небесної Сотні, буд. 42 кв. 40, Бердичів, 92326",092 26 05,okhrymovychleopold@example.org
Заїка,Панас,Юрійович,male,1985-08-12,Хімік,село Почаїв,"набережна Залізнична, буд. 386, Чигирин, 18855",063 036 88 89,wvashchenko-zakharchenko@example.org
Вдовиченко,Андрій,Сергійович,male,1985-11-14,Детектив,село Жовква,"провулок Космонавтів, буд. 685, Березань , 68644",091 613-00-12,vasylechkoartem@example.net
Голик,Дмитро,Артемович,male,1960-05-09,Архітектор,село Добромиль,"вулиця Лютневий 1-й, буд. 0 кв. 45, Синельникове, 14064",907-48-89,serhii74@example.org
Макогон,Роман,Вікторович,male,1958-06-22,Прокурор,місто Новояворівськ,"вулиця Маяковського, буд. 9 кв. 72, Ковель, 40927",099 953 52 45,snizhana57@example.com
Ткач,Зиновій,Сергійович,male,1964-06-22,Кінорежисер,хутір Скадовськ,"узвіз Лиманчик 2-й Лінія 1-ша, буд. 80, Кодима, 80088",+380 (56) 856-77-06,nehodasolomon@example.org
Бевзенко,Аарон,Антонович,male,1998-08-06,Модель,хутір Золоте,"набережна Слов'янська, буд. 764 кв. 91, Покров, 60260",+380 88 085 15 20,uandriishyn@example.org
Батіг,Прохір,Сергійович,male,1967-02-12,Ветеринар,село Золотоноша,"сквер Восьмого березня 2-й, буд. 2 кв. 11, Яворів, 48108",+380 75 561-14-25,artiushenkohordii@example.net
Сич,Дмитро,Остапович,male,1998-05-25,Журналіст,місто Червоноград,"парк Педагогічна, буд. 38, Камінь-Каширський, 59721",+380 73 380-27-12,frankoiaroslav@example.com
Юхименко,Адам,Олександрович,male,1969-07-24,Драматург,місто Стрий,"шосе Сурикова 2-й, буд. 5, Довжанськ, 46993",581 03 00,wudovychenko@example.org
